"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 18 16:13:39 IST 2025","Thu Dec 18 16:13:40 IST 2025","1494","Surefire suite","Surefire test","tests.ApiTest","tests.ApiTest","testGetAllPosts","testGetAllPosts",""
"passed","Thu Dec 18 16:13:40 IST 2025","Thu Dec 18 16:13:41 IST 2025","408","Surefire suite","Surefire test","tests.ApiTest","tests.ApiTest","testNonExistentPost","testNonExistentPost",""
